country_code,country_name,year,actual_rating,actual_numeric,model_band,model_numeric,composite_score,difference
IDN,Indonesia,2005,BB-,9,BB+,11,4.3540091220544515,2
IDN,Indonesia,2006,BB-,9,BBB-,12,4.758962780002096,3
IDN,Indonesia,2007,BB-,9,BBB,13,5.352438708618674,4
IDN,Indonesia,2008,BB-,9,BB+,11,4.23624536258623,2
IDN,Indonesia,2009,BB-,9,BBB,13,5.439240723903224,4
IDN,Indonesia,2010,BB,10,BBB+,14,5.538740158085071,4
IDN,Indonesia,2011,BB+,11,BBB+,14,5.566574249903677,3
IDN,Indonesia,2012,BB+,11,BBB,13,5.207169851341372,2
IDN,Indonesia,2013,BB+,11,BBB-,12,4.889180587934778,1
IDN,Indonesia,2014,BB+,11,BBB-,12,4.880148240776341,1
IDN,Indonesia,2015,BB+,11,BBB-,12,4.876012059886357,1
IDN,Indonesia,2016,BB+,11,BBB,13,5.248198042685585,2
IDN,Indonesia,2017,BBB-,12,BBB,13,5.442503266224003,1
IDN,Indonesia,2018,BBB-,12,BBB,13,5.306438159846581,1
IDN,Indonesia,2019,BBB,13,BBB,13,5.230657672793591,0
IDN,Indonesia,2020,BBB,13,BBB-,12,4.779210746347711,-1
IDN,Indonesia,2021,BBB,13,BBB+,14,5.941231453743008,1
IDN,Indonesia,2022,BBB,13,BBB+,14,5.566611789564336,1
IDN,Indonesia,2023,BBB,13,BBB,13,5.4716788982605955,0
MYS,Malaysia,2005,A-,15,A-,15,6.102502726133397,0
MYS,Malaysia,2006,A-,15,A,16,6.6676088874712685,1
MYS,Malaysia,2007,A-,15,A,16,6.902827358663428,1
MYS,Malaysia,2008,A-,15,BBB+,14,5.943494298231893,-1
MYS,Malaysia,2009,A-,15,BBB,13,5.292067533928028,-2
MYS,Malaysia,2010,A-,15,A-,15,6.170566385930141,0
MYS,Malaysia,2011,A-,15,A-,15,6.013386320101472,0
MYS,Malaysia,2012,A-,15,BBB+,14,5.913317638434517,-1
MYS,Malaysia,2013,A-,15,BBB+,14,5.530865642417658,-1
MYS,Malaysia,2014,A-,15,BBB+,14,5.621361163764735,-1
MYS,Malaysia,2015,A-,15,BBB,13,5.446204116568671,-2
MYS,Malaysia,2016,A-,15,BBB,13,5.425253994087954,-2
MYS,Malaysia,2017,A-,15,BBB,13,5.334769302972402,-2
MYS,Malaysia,2018,A-,15,BBB,13,5.394103077918151,-2
MYS,Malaysia,2019,A-,15,BBB,13,5.373169146633725,-2
MYS,Malaysia,2020,A-,15,BBB-,12,4.624902936824813,-3
MYS,Malaysia,2021,A-,15,BBB-,12,4.683761312896225,-3
MYS,Malaysia,2022,A-,15,BBB,13,5.067414493146498,-2
MYS,Malaysia,2023,A-,15,BB+,11,4.453218432778499,-4
THA,Thailand,2005,BBB+,14,BBB-,12,4.921984733062534,-2
THA,Thailand,2006,BBB+,14,BBB+,14,5.549803810605263,0
THA,Thailand,2007,BBB+,14,A-,15,6.348006524701342,1
THA,Thailand,2008,BBB+,14,BBB,13,5.198115288239757,-1
THA,Thailand,2009,BBB+,14,A-,15,6.217133482912791,1
THA,Thailand,2010,BBB+,14,A-,15,6.455628626934038,1
THA,Thailand,2011,BBB+,14,BBB+,14,5.547291798156879,0
THA,Thailand,2012,BBB+,14,A-,15,6.072157746510196,1
THA,Thailand,2013,BBB+,14,BBB,13,5.261866808101634,-1
THA,Thailand,2014,BBB+,14,BBB,13,5.436809378216713,-1
THA,Thailand,2015,BBB+,14,A-,15,6.134543478520733,1
THA,Thailand,2016,BBB+,14,A,16,6.548137052509613,2
THA,Thailand,2017,BBB+,14,A,16,6.687489563978284,2
THA,Thailand,2018,BBB+,14,A-,15,6.300081043021755,1
THA,Thailand,2019,BBB+,14,A-,15,6.273605090086427,1
THA,Thailand,2020,BBB+,14,BBB+,14,5.602920150114598,0
THA,Thailand,2021,BBB+,14,BBB,13,5.055103521862607,-1
THA,Thailand,2022,BBB+,14,BB+,11,4.079670146327755,-3
THA,Thailand,2023,BBB+,14,BBB,13,5.123846758433317,-1
PHL,Philippines,2005,BB-,9,BBB-,12,4.536238060578916,3
PHL,Philippines,2006,BB-,9,BBB,13,5.059413565489994,4
PHL,Philippines,2007,BB-,9,BBB+,14,5.745628046923293,5
PHL,Philippines,2008,BB-,9,BBB-,12,4.681987061909251,3
PHL,Philippines,2009,BB-,9,BBB,13,5.273726910293601,4
PHL,Philippines,2010,BB,10,A-,15,6.333740274651844,5
PHL,Philippines,2011,BB,10,BBB+,14,5.911833648892501,4
PHL,Philippines,2012,BB+,11,A-,15,6.324347392981916,4
PHL,Philippines,2013,BBB-,12,A,16,6.526011717271004,4
PHL,Philippines,2014,BBB,13,A-,15,6.341087388119586,2
PHL,Philippines,2015,BBB,13,A-,15,6.285285642773785,2
PHL,Philippines,2016,BBB,13,A-,15,6.176618639720315,2
PHL,Philippines,2017,BBB,13,BBB+,14,5.926993978507862,1
PHL,Philippines,2018,BBB,13,BBB,13,5.376931191460854,0
PHL,Philippines,2019,BBB+,14,BBB+,14,5.557527477116008,0
PHL,Philippines,2020,BBB+,14,BBB,13,5.1606144539639285,-1
PHL,Philippines,2021,BBB+,14,BBB,13,5.224468823208685,-1
PHL,Philippines,2022,BBB+,14,BBB-,12,4.838211367972993,-2
PHL,Philippines,2023,BBB+,14,BBB-,12,4.859077888112604,-2
SGP,Singapore,2005,AAA,21,A,16,6.895850550225611,-5
SGP,Singapore,2006,AAA,21,A+,17,7.08141440516752,-4
SGP,Singapore,2007,AAA,21,A+,17,7.025402059126211,-4
SGP,Singapore,2008,AAA,21,BBB,13,5.220696177916288,-8
SGP,Singapore,2009,AAA,21,A-,15,6.2020111617869595,-6
SGP,Singapore,2010,AAA,21,A+,17,7.198656095370875,-4
SGP,Singapore,2011,AAA,21,A,16,6.744086024340485,-5
SGP,Singapore,2012,AAA,21,A-,15,6.461209154488265,-6
SGP,Singapore,2013,AAA,21,A,16,6.559104477999013,-5
SGP,Singapore,2014,AAA,21,A,16,6.766433350322469,-5
SGP,Singapore,2015,AAA,21,A,16,6.935248524263908,-5
SGP,Singapore,2016,AAA,21,A,16,6.951349931397637,-5
SGP,Singapore,2017,AAA,21,A+,17,7.188200343884962,-4
SGP,Singapore,2018,AAA,21,A,16,6.735613196670786,-5
SGP,Singapore,2019,AAA,21,A-,15,6.280460399211459,-6
SGP,Singapore,2020,AAA,21,A-,15,6.156265670433297,-6
SGP,Singapore,2021,AAA,21,A,16,6.953734970780476,-5
SGP,Singapore,2022,AAA,21,BBB+,14,5.736851323982159,-7
SGP,Singapore,2023,AAA,21,BBB,13,5.443033251244806,-8
